City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
Port Alfred,-33.5906,26.891,62.82,83,99,7.45,ZA,overcast clouds,2022-08-11 19:47:09
Lompoc,34.6391,-120.4579,78.94,74,40,14.97,US,mist,2022-08-11 19:47:11
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Albany,42.6001,-73.9662,84.79,51,93,10.74,US,overcast clouds,2022-08-11 19:44:20
Port Alfred,-33.5906,26.891,62.82,83,99,7.45,ZA,overcast clouds,2022-08-11 19:47:09
Te Anau,-45.4167,167.7167,28.96,92,28,1.12,NZ,scattered clouds,2022-08-11 19:47:17
Severo-Kurilsk,50.6789,156.125,55.99,96,95,13.2,RU,overcast clouds,2022-08-11 19:47:18
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Vaini,-21.2,-175.2,73.56,83,40,11.5,TO,scattered clouds,2022-08-11 19:46:52
Ribeira Grande,38.5167,-28.7,77.4,73,40,13.8,PT,scattered clouds,2022-08-11 19:47:22
Hobart,-42.8794,147.3294,44.06,90,86,5.75,AU,overcast clouds,2022-08-11 19:47:20
Narsaq,60.9167,-46.05,59.22,76,12,4.76,GL,few clouds,2022-08-11 19:47:25
Anchorage,61.2181,-149.9003,64.27,79,100,5.75,US,light rain,2022-08-11 19:44:05
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:42:17
Bara,10.3744,10.7288,71.38,90,100,5.37,NG,overcast clouds,2022-08-11 19:47:29
Cayenne,4.9333,-52.3333,87.84,8,0,4.61,GF,clear sky,2022-08-11 19:44:32
Dukat,62.55,155.55,53.08,84,100,4.59,RU,overcast clouds,2022-08-11 19:47:31
Husavik,66.0449,-17.3389,52.61,73,97,5.7,IS,overcast clouds,2022-08-11 19:47:32
Tuktoyaktuk,69.4541,-133.0374,53.6,82,100,20.71,CA,light rain,2022-08-11 19:47:34
New Norfolk,-42.7826,147.0587,43.72,81,96,0.89,AU,overcast clouds,2022-08-11 19:47:35
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Kodiak,57.79,-152.4072,56.71,88,100,6.91,US,mist,2022-08-11 19:41:53
Pangody,65.85,74.4859,60.78,50,100,13.33,RU,overcast clouds,2022-08-11 19:47:39
Gumdag,39.2061,54.5906,85.21,19,0,15.01,TM,clear sky,2022-08-11 19:47:41
Busselton,-33.65,115.3333,49.24,87,3,9.95,AU,clear sky,2022-08-11 19:47:37
Klaksvik,62.2266,-6.589,52.72,81,100,11.52,FO,overcast clouds,2022-08-11 19:45:11
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Tabuk,17.4189,121.4443,73.98,92,100,1.68,PH,overcast clouds,2022-08-11 19:47:46
Pyay,18.8167,95.2167,75.72,94,100,5.53,MM,light rain,2022-08-11 19:47:47
Prado,-17.3411,-39.2208,74.8,68,100,9.93,BR,overcast clouds,2022-08-11 19:47:49
Santa Rosa,14.3122,121.1114,80.58,88,96,1.66,PH,overcast clouds,2022-08-11 19:43:13
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:42:21
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Hammerfest,70.6634,23.6821,52.25,82,75,33.38,NO,moderate rain,2022-08-11 19:47:56
La Ronge,55.1001,-105.2842,79.02,53,40,6.91,CA,scattered clouds,2022-08-11 19:47:57
Dikson,73.5069,80.5464,44.49,94,99,20.38,RU,overcast clouds,2022-08-11 19:47:11
Magway,20.15,94.9167,78.93,80,100,7.87,MM,overcast clouds,2022-08-11 19:48:00
Rikitea,-23.1203,-134.9692,73.13,72,60,21.7,PF,broken clouds,2022-08-11 19:48:01
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:48:02
Kazachinskoye,57.6953,93.2761,51.64,93,1,3.53,RU,clear sky,2022-08-11 19:46:57
Tomigusuku,26.185,127.675,82.17,89,20,6.91,JP,few clouds,2022-08-11 19:48:05
Bengkulu,-3.8004,102.2655,76.33,91,46,3.49,ID,scattered clouds,2022-08-11 19:48:08
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Talnakh,69.4865,88.3972,49.17,68,90,4.05,RU,overcast clouds,2022-08-11 19:48:10
Arraial Do Cabo,-22.9661,-42.0278,69.76,78,40,25.32,BR,scattered clouds,2022-08-11 19:43:35
Aden,12.7794,45.0367,85.68,78,100,11.63,YE,overcast clouds,2022-08-11 19:44:11
Port Alfred,-33.5906,26.891,62.82,83,99,7.45,ZA,overcast clouds,2022-08-11 19:47:09
Kaitangata,-46.2817,169.8464,31.35,90,10,6.2,NZ,clear sky,2022-08-11 19:48:15
Cherskiy,68.75,161.3,60.51,61,95,6.46,RU,overcast clouds,2022-08-11 19:48:16
Guerrero Negro,27.9769,-114.0611,82.96,46,1,14.56,MX,clear sky,2022-08-11 19:46:58
Bambous Virieux,-20.3428,57.7575,68.25,64,20,13.8,MU,light rain,2022-08-11 19:47:51
Airai,-8.9266,125.4092,56.88,93,61,3.13,TL,broken clouds,2022-08-11 19:47:13
Mizdah,31.4451,12.9801,80.67,46,0,12.55,LY,clear sky,2022-08-11 19:48:22
Hami,42.8,93.45,87.19,27,40,14.23,CN,scattered clouds,2022-08-11 19:48:24
Zhigansk,66.7697,123.3711,48.13,77,17,21.41,RU,few clouds,2022-08-11 19:48:25
Mataura,-46.1927,168.8643,28.87,94,17,3.06,NZ,few clouds,2022-08-11 19:48:02
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:48:27
Cockburn Town,21.4612,-71.1419,81.9,75,11,16.28,TC,few clouds,2022-08-11 19:48:29
Saint George,37.1041,-113.5841,93.43,35,0,1.99,US,clear sky,2022-08-11 19:46:21
Nikolskoye,59.7035,30.7861,67.89,68,100,7.52,RU,overcast clouds,2022-08-11 19:48:31
Luba,3.4568,8.5547,76.44,88,100,5.59,GQ,overcast clouds,2022-08-11 19:48:33
Kapaa,22.0752,-159.319,81.12,72,20,16.11,US,few clouds,2022-08-11 19:42:20
Tingo Maria,-9.2895,-76.0088,86.31,58,20,4.61,PE,few clouds,2022-08-11 19:48:35
Ribeira Grande,38.5167,-28.7,77.4,73,40,13.8,PT,scattered clouds,2022-08-11 19:47:22
Turukhansk,65.8167,87.9833,43.72,86,5,6.4,RU,clear sky,2022-08-11 19:48:38
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Esperance,-33.8667,121.9,52.66,72,91,9.04,AU,overcast clouds,2022-08-11 19:48:40
Jamestown,42.097,-79.2353,76.59,46,75,10.36,US,broken clouds,2022-08-11 19:48:42
Shakawe,-18.3667,21.85,63.52,16,0,3.87,BW,clear sky,2022-08-11 19:48:43
Basti,26.8,82.7167,83.16,71,3,11.77,IN,clear sky,2022-08-11 19:48:45
North Bend,43.4065,-124.2243,76.24,88,20,8.05,US,few clouds,2022-08-11 19:45:17
Okhotsk,59.3833,143.3,56.75,95,100,2.93,RU,overcast clouds,2022-08-11 19:48:47
Nantucket,41.2835,-70.0995,71.74,100,100,13.8,US,overcast clouds,2022-08-11 19:48:48
Izhma,65.0083,53.9113,62.62,53,100,8.16,RU,overcast clouds,2022-08-11 19:48:50
Shakhovskaya,56.0283,35.5097,57.18,68,2,2.35,RU,clear sky,2022-08-11 19:48:52
Ushuaia,-54.8,-68.3,38.82,87,40,2.3,AR,scattered clouds,2022-08-11 19:43:07
Victoria,22.2855,114.1577,81.32,93,99,3.0,HK,overcast clouds,2022-08-11 19:48:30
Nelson Bay,-32.7167,152.15,55.99,97,100,3.0,AU,overcast clouds,2022-08-11 19:48:44
Punta Arenas,-53.15,-70.9167,39.31,60,40,11.5,CL,scattered clouds,2022-08-11 19:46:53
Mar Del Plata,-38.0023,-57.5575,60.82,65,0,18.41,AR,clear sky,2022-08-11 19:48:58
Liwale,-9.7667,37.9333,66.83,71,27,4.65,TZ,scattered clouds,2022-08-11 19:48:59
Mogocha,53.7333,119.7667,52.43,97,100,1.5,RU,overcast clouds,2022-08-11 19:49:00
Hermanus,-34.4187,19.2345,54.81,77,100,13.11,ZA,overcast clouds,2022-08-11 19:49:02
Atuona,-9.8,-139.0333,76.86,70,59,28.36,PF,broken clouds,2022-08-11 19:47:45
Cape Town,-33.9258,18.4232,59.88,77,40,10.36,ZA,scattered clouds,2022-08-11 19:46:54
Puerto Ayora,-0.7393,-90.3518,78.76,94,100,7.0,EC,overcast clouds,2022-08-11 19:46:27
Rocha,-34.4833,-54.3333,58.53,70,1,7.43,UY,clear sky,2022-08-11 19:44:44
